Index,Family
160.0,salicaceae
162.0,empetraceae
169.0,orchidaceae
17.01,bixaceae
17.02,cochlospermaceae
17.03,aphloiaceae
17.03,berberidopsidaceae
17.03,flacourtiaceae
17.03,gerrardinaceae
17.04,peridiscaceae
17.05,scyphostegiaceae
17.06,lacistemataceae
17.08,asteropeiaceae
170.01,zingiberaceae
171.0,bromeliaceae
174.02,dioscoreaceae
174.04,stemonaceae
174.07,smilacaceae
175.02,convallariaceae
175.03,asparagaceae
175.22,aloaceae
175.23,anthericaceae
175.27,alliaceae
175.28,amaryllidaceae
176.0,melanthiaceae
178.03,liliaceae
178.05,iridaceae
18.0,pittosporaceae
186.01,juncaceae
187.0,arecaceae
19.0,tremandraceae
190.01,typhaceae
191.01,araceae
191.02,acoraceae
194.01,alismataceae
196.0,eriocaulaceae
197.02,hydatellaceae
199.0,cyperaceae
2.01,dilleniaceae
2.02,crossosomataceae
20.01,polygalaceae
20.03,trigoniaceae
20.04,krameriaceae
20.05,euphroniaceae
200.0,poaceae
2000.0,lichens
205.0,ephedraceae
208.0,pinaceae
209.0,taxodiaceae
21.01,frankeniaceae
21.02,gisekiaceae
21.03,limaceae
21.03,molluginaceae
210.0,cupressaceae
213.0,taxaceae
216.0,cycadaceae
22.01,caryophyllaceae
22.02,illicebraceae
23.01,montiaceae
23.01,portulacaceae
23.01,talinaceae
23.02,hectorellaceae
24.01,tamaricaceae
24.02,fouquieriaceae
25.0,elatinaceae
250.0,lycopodiaceae
251.0,selaginellaceae
253.0,equisetaceae
27.01,bonnetiaceae
27.01,calophyllaceae
27.01,clusiaceae
27.01,guttiferae
27.01,hypericaceae
27.02,quiinaceae
28.01,sladeniaceae
28.01,theaceae
28.02,caryocaraceae
28.03,marcgraviaceae
28.04,pentaphylacaceae
28.05,nepenthaceae
28.06,ancistrocladaceae
28.07,droseraceae
28.07,drosophyllaceae
28.08,dioncophyllaceae
28.08,pellicieraceae
28.09,stachyuraceae
28.11,medusagynaceae 
28.11,tetrameristaceae
28.13,strasburgeriaceae
29.01,dipterocarpaceae
29.04,dipterocarpaceae
3.01,calycanthaceae
3.02,idiospermaceae
30.0,sarcolaenaceae
3000.0,fungi
307.0,schizaeaceae
31.0,malvaceae
31.01,malvaceae
31.02,bombacaceae
3112.01,hypocreaceae
316.0,dicksoniaceae
32.0,sterculiaceae
3204.02,polyporaceae
322.0,dennstaedtiaceae
3221.01,phallaceae
323.02,dryopteridaceae
327.0,aspleniaceae
328.0,blechnaceae
33.01,muntingiaceae
33.01,tiliaceae 
33.01,tiliaceae
33.02,elaeocarpaceae
33.03,scytopetalaceae
33.04,plagiopteraceae
34.01,linaceae
34.02,erythroxylaceae
34.03,ixonanthaceae
34.04,irvingiaceae
34.05,ctenolophonaceae
34.06,huaceae
35.0,humiriaceae
36.0,malpighiaceae
37.0,nitrariaceae
37.0,zygophyllaceae
38.01,biebersteiniaceae
38.01,dirachmaceae
38.01,geraniaceae
38.01,vivianiaceae
38.02,tropaeolaceae
38.03,limnanthaceae
38.05,lepidobotryaceae
38.06,oxalidaceae
38.08,balsaminaceae
39.01,rutaceae
39.02,rhabdodendraceae
39.03,pterostemonaceae
4.01,magnoliaceae
4.02,winteraceae
4.03,illiciaceae
4.04,himantandraceae
4.05,degeneriaceae
4.06,schisandraceae
4.07,trochodendraceae
4.08,tetracentraceae
4.09,cercidiphyllaceae
4.1,eupteleaceae
40.01,kirkiaceae
40.01,picramniaceae
40.01,simaroubaceae
40.02,cneoraceae
40.03,surianaceae
40.04,brunelliaceae
40.07,balanitaceae
41.01,ochnaceae
41.02,sphaerosepalaceae
41.03,diegodendraceae 
42.0,burseraceae
4249.02,laminariaceae
4250.05,sargassaceae
43.01,meliaceae
43.02,ptaeroxylaceae
44.0,dichapetalaceae
4410.03,ulvaceae
45.01,olacaceae
45.02,opiliaceae
45.03,icacinaceae
45.03,metteniusaceae
45.03,pennantiaceae
45.03,stemonuraceae
45.04,cardiopteridaceae
45.05,medusandraceae 
45.06,dipentodontaceae
45.07,sphenostemonaceae
46.01,aquifoliaceae
46.02,cyrillaceae
46.03,oncothecaceae
46.04,phellinaceae
47.0,hippocrateaceae 
47.01,celastraceae
47.03,goupiaceae
47.04,canotiaceae
48.0,stackhousiaceae
49.01,rhamnaceae
49.02,lophopyxidaceae
5.01,annonaceae
5.02,eupomatiaceae
50.01,vitaceae
50.02,leeaceae
51.01,sapindaceae
51.02,hippocastanaceae
51.03,aceraceae 
51.03,aceraceae
51.04,melianthaceae
51.05,staphyleaceae
51.05,tapisciaceae
51.06,akaniaceae
51.07,tepuianthaceae
51.08,bretschneideraceae
52.0,meliosmaceae
53.01,anacardiaceae
53.03,corynocarpaceae
53.05,podoaceae
54.0,coriariaceae
55.0,moringaceae
56.0,connaraceae
57.0,leguminosae
57.01,leguminosae
57.02,leguminosae
57.03,leguminosae
58.01,guamatelaceae
58.01,quillajaceae
58.01,rosaceae
58.02,chrysobalanaceae
58.03,stylobasiaceae
58.04,neuradaceae
59.01,iteaceae
59.01,saxifragaceae
59.02,eremosynaceae
59.03,vahliaceae
59.04,parnassiaceae
59.06,hydrangeaceae
59.07,argophyllaceae
59.07,escalloniaceae
59.07,phyllonomaceae
59.07,rousseaceae
59.07,tetracarpaeaceae
59.09,aphanopetalaceae
59.09,cunoniaceae
59.1,greyiaceae
59.11,eucryphiaceae
59.12,grossulariaceae
59.14,cephalotaceae
59.15,columelliaceae
59.16,paracryphiaceae
59.17,davidsoniaceae
6.01,menispermaceae
6.02,sabiaceae
60.01,crassulaceae
60.02,penthoraceae
61.02,roridulaceae
61.03,byblidaceae
62.01,altingiaceae
62.01,hamamelidaceae
62.03,myrothamnaceae
63.0,bruniaceae
64.01,haloragaceae
64.02,hippuridaceae
64.03,gunneraceae
64.04,callitrichaceae
65.01,rhizophoraceae
65.02,anisophylleaceae
66.0,combretaceae
67.01,myrtaceae
67.03,vochysiaceae
68.0,melastomataceae
68.0,memecylaceae
69.01,lythraceae
69.02,crypteroniaceae
69.05,oliniaceae
69.07,alzateaceae
69.08,rhynchocalycaceae
7.01,berberidaceae
7.02,lardizabalaceae
7.03,sargentodoxaceae
70.01,onagraceae
70.02,trapaceae
70.03,montiniaceae
72.0,loasaceae
73.0,turneraceae
74.01,passifloraceae
74.02,malesherbiaceae
74.03,achariaceae
74.04,caricaceae
75.0,cucurbitaceae
76.0,begoniaceae
77.01,datiscaceae
77.01,tetramelaceae
78.01,cactaceae
78.02,didiereaceae
79.01,aizoaceae
8.01,nymphaeaceae
8.02,cabombaceae
8.03,ceratophyllaceae
8.04,nelumbonaceae
80.0,apiaceae
80.0,umbelliferae
81.01,araliaceae
81.01,myodocarpaceae
81.02,helwingiaceae
81.03,aralidiaceae
82.01,cornaceae
82.01,curtisiaceae
82.02,alangiaceae
82.03,garryaceae
82.06,torricelliaceae
82.07,aucubaceae
82.08,griseliniaceae
82.09,melanophyllaceae
83.01,caprifoliaceae 
83.01,caprifoliaceae
83.03,alseuosmiaceae
83.04,adoxaceae
83.05,carlemanniaceae
84.0,rubiaceae
84.01,rubiaceae
84.02,dialypetalanthaceae
85.0,valerianaceae
86.01,dipsacaceae
86.02,morinaceae
86.03,triplostegiaceae
87.0,calyceraceae
88.0,asteraceae
