genus name,family number,genus number
telekia baumg.,169,37
telephium l.,57,24
teline medicus,81,15
tetraclinis masters,28,4
tetracme bunge,68,31
tetragonia l.,54,1
tetragonolobus scop.,81,60
teucrium l.,151,2
thalictrum l.,61,23
thapsia l.,129,99
thellungiella o. e. schulz,68,9
thelypteris schmidel,16,1
thermopsis r. br.,81,6
thesium l.,42,3
thladiantha bunge,117,1
thorelia briq.,129,69
thuja l ,28,3
thymbra l ,151,30
thymelaea miller,107,2
thymus l ,151,33
tofieldia hudson,183,1
tolpis adanson,169,150
tordylium l.,129,94
torilis adanson,129,102
torularia cosson,,
trac homi turn woodson,142,2
trachystemon d. don,148,24
tradescantia l.,191,1
tragopogon l.,169,162
tragus haller,193,128
traunsteinera reichenb.,203,23
tremastelma rafin.,167,9
tricholaena schrader,193,143
trichophorum pers.,199,1
trientalis l.,135,9
trifolium l.,81,57
trigiochin l.,175,1
trigonella l.,81,55
trigonotis steven,148,32
triguera cav.,152,13
trinia hoflm.,129,57
triplachne link,193,86
tripleurospermum schultz bip.,169,60
tripogandra rafin.,191,2
trisetum pers.,193,70
triticum l.,193,53
tritonia kergawler,188,51001889
trochiscanthes koch,129,44
tropaeolum l.,84,1
tuberaria dunal,,
tulipa l.,183,22
turgenia hoffm.,129,106
turgeniopsis boiss.,129,104
tussilago l.,169,89
typha l.,198,1
ulmus l.,37,1
urginea steinh.,183,26
urospermum scop.,169,157
urtica l.,40,1
vaccaria medicus,57,34
vaccinium l.,132,18
vahlodea fries,193,75
valantia l.,144,8
valeriana l.,166,4
valerianella miller,166,2
velezia l.,57,37
ventenata koeler,193,67
verbascum l.,154,7
verbesina l.,169,46
vesicaria lam.,68,48
vigna savi,81,46
vincetoxicum n. m. wolf,143,6
viscaria bemh.,57,25
viscum l.,43,2
vitaliana sesler,135,2
vitex l.,149,1
vitis l.,104,1
volutaria cass.,169,133
vulpia c. c. gmelin,193,6
wagenitzia dostal,169,141
wahlenbergia schrader ex roth,168,11
waldsteinia willd.,80,18
wigandia kunth,147,3
wilckia scop.,68,21
wisteria nutt.,81,31
withania pauquy,152,6
wolffia horkel ex schleiden,196,1
woodsia r. br.,18,4
woodwardia sm.,21,2
wulfenia jacq.,154,20
xanthium l.,169,50
xatardia meissner,129,39
xeranthemum l.,169,108
xiphion miller,188,3
zantedeschia sprengel,195,4
zea l.,193,155
zelkova spach,37,2
zingeria p. smirnov,193,103
ziziphora l.,151,24
ziziphus miller,103,2
zollikoferia dc.nonnees,169,164
zygophyllum l.,85,3
