index,family-name
83.01,caprifoliaceae
83.03,acanthaceae
83.04,achariaceae
83.05,carlemanniaceae
84.00,rubiaceae
84.01,rubiaceae
84.02,dialypetalanthaceae
85.00,valerianaceae
86.01,dipsacaceae
86.02,morinaceae
86.03,triplostegiaceae
87.00,calyceraceae
88.00,compositae
88.00,asteraceae
89.01,stylidiaceae
89.01,donatiaceae
90.01,goodeniaceae
90.03,emblingiaceae
91.01,campanulaceae
91.01,sphenocleaceae
91.02,pentaphragmataceae
93.01,ericaceae
93.03,clethraceae
95.00,epacridaceae 
95.00,epacridaceae
96.00,diapensiaceae
97.00,lennoaceae
98.00,plumbaginaceae
99.00,primulaceae
99.01,lecythidaceae
99.02,acanthaceae
100.01,myrsinaceae
100.02,theophrastaceae 
101.01,sapotaceae
101.10,sapotaceae
102.00,ebenaceae
103.01,styracaceae
103.02,symplocaceae
103.03,lissocarpaceae
104.00,oleaceae
105.00,salvadoraceae
106.00,apocynaceae 
106.00,apocynaceae
107.00,asclepiadaceae
108.01,loganiaceae
108.01,gelsemiaceae
108.02,buddlejaceae
108.03,retziaceae
108.91,desfontaniaceae
108.94,potaliaceae
109.01,gentianaceae
109.02,menyanthaceae
109.03,saccifoliaceae
110.00,polemoniaceae
111.00,hydrophyllaceae 
112.01,boraginaceae
112.01,hydroleaceae
112.01,plocospermataceae
112.04,hoplestigmataceae
113.01,convolvulaceae
114.01,solanaceae
114.02,goetzeaceae
114.03,duckeodendraceae
115.00,calceolariaceae
115.00,linderniaceae
115,orobanchaceae
115.00,paulowniaceae
115.00,scrophulariaceae
115.00,orobanchaceae
115.00,schlegeliaceae
116.00,globulariaceae
117.00,lentibulariaceae
119.00,gesneriaceae
120.01,bignoniaceae
120.02,cobaeaceae
121.00,martyniaceae
121.00,pedaliaceae
122.00,acanthaceae
122.00,thomandersiaceae
123.00,myoporaceae
125.01,verbenaceae
125.02,phrymaceae 
125.03,stilbaceae 
125.05,avicenniaceae
125.06,nesogenaceae
125.07,cyclocheilaceae
126.01,labiatae
126.01,lamiaceae
126.02,tetrachondraceae
127.00,plantaginaceae
128.00,nyctaginaceae
130.00,acanthaceae
131.01,sarcobataceae
131.01,chenopodiaceae
131.02,basellaceae
131.03,halophytaceae
132.01,phytolaccaceae
132.01,lophiocarpaceae
132.02,barbeuiaceae
132.03,gyrostemonaceae
132.04,stegnospermataceae
132.05,agdestidaceae 
132.06,acanthaceae
133.00,bataceae
134.00,polygonaceae
135.01,podostemaceae
135.02,hydrostachyaceae
137.01,apodanthaceae
137.01,cytinaceae
137.01,mitrastemonaceae
137.01,rafflesiaceae
137.02,hydnoraceae
138.00,aristolochiaceae
139.01,piperaceae
139.02,lactoridaceae
139.03,saururaceae
140.00,chloranthaceae
141.00,myristicaceae
142.01,atherospermataceae
142.01,monimiaceae
142.01,siparunaceae
142.02,trimeniaceae
142.03,austrobaileyaceae
142.04,gomortegaceae
142.05,acanthaceae
143.01,lauraceae
143.02,hernandiaceae
144.00,proteaceae
145.01,thymelaeaceae
145.01,thymeleaceae
146.01,penaeaceae
146.02,geissolomataceae
147.00,elaeagnaceae
148.01,loranthaceae
148.02,eremolepidaceae 
148.03,viscaceae
149.01,santalaceae
149.01,schoepfiaceae
149.02,misodendraceae
149.03,grubbiaceae
150.01,balanophoraceae
150.02,cynomoriaceae
151.01,euphorbiaceae
151.01,peraceae
151.01,phyllanthaceae
151.01,picrodendraceae
151.01,putranjivaceae
151.02,buxaceae
151.03,didymelaceae
151.04,daphniphyllaceae
151.05,centroplacaceae
151.05,pandaceae
151.07,acanthaceae
151.08,simmondsiaceae
152.00,balanopaceae
153.01,urticaceae
153.02,ulmaceae
153.03,eucommiaceae
153.04,cannabaceae
153.05,moraceae
153.06,cecropiaceae
153.07,barbeyaceae
153.08,ticodendraceae
154.00,platanaceae
155.00,leitneriaceae
156.01,juglandaceae
156.02,rhoipteleaceae
157.00,myricaceae
158.00,casuarinaceae
159.01,betulaceae
159.02,corylaceae
159.03,fagaceae
159.03,nothofagaceae
160.00,salicaceae
162.00,empetraceae
169.00,orchidaceae
170.01,zingiberaceae
170.02,costaceae
170.03,marantaceae
170.04,musaceae
170.05,lowiaceae
170.06,cannaceae
170.07,strelitziaceae
170.08,heliconiaceae
171.00,bromeliaceae
172.01,haemodoraceae
173.00,velloziaceae
174.02,dioscoreaceae
174.04,stemonaceae
174.05,rhipogonaceae
174.07,smilacaceae
174.08,petermanniaceae
175.01,philesiaceae
175.02,convallariaceae
175.03,asparagaceae
175.07,asteliaceae
175.08,hanguanaceae
175.09,blandfordiaceae
175.10,xanthorrhoeaceae
175.12,hypoxidaceae
175.13,tecophilaeaceae
175.14,lanariaceae
175.17,ixioliriaceae
175.19,doryanthaceae
175.22,aloaceae
175.23,anthericaceae
175.27,alliaceae
175.28,achariaceae
175.29,dasypogonaceae
176.00,melanthiaceae
177.01,burmanniaceae
177.02,corsiaceae
178.01,achariaceae
178.02,colchicaceae
178.03,liliaceae
178.05,iridaceae
179.00,pontederiaceae
180.00,philydraceae
181.00,xyridaceae
182.00,mayacaceae
183.01,commelinaceae
184.00,rapateaceae
185.01,flagellariaceae
185.02,joinvilleaceae
186.01,juncaceae
186.02,thurniaceae
187.00,palmae
187.00,arecaceae
188.00,pandanaceae
189.00,cyclanthaceae
190.01,typhaceae
191.01,araceae
191.02,achariaceae
193.00,triuridaceae
194.01,achariaceae
194.02,butomaceae
194.04,hydrocharitaceae
195.02,juncaginaceae
195.03,scheuchzeriaceae
195.05,aponogetonaceae
195.06,potamogetonaceae
195.08,posidonaceae
195.10,zosteraceae
195.11,cymodoceaceae
196.00,eriocaulaceae
197.01,centrolepidaceae
197.02,hydatellaceae
198.01,restionaceae
198.02,ecdeiocoleaceae
198.05,achariaceae
199.00,cyperaceae
200.00,poaceae
205.00,ephedraceae
208.00,pinaceae
209.00,taxodiaceae
210.00,cupressaceae
213.00,taxaceae
216.00,cycadaceae
250.00,lycopodiaceae
251.00,selaginellaceae
253.00,equisetaceae
307.00,schizaeaceae
316.00,dicksoniaceae
322.00,dennstaedtiaceae
323.02,dryopteridaceae
327.00,aspleniaceae
328.00,blechnaceae
2000.00,lichens
3000.00,fungi
3112.01,hypocreaceae
3204.02,polyporaceae
3221.01,phallaceae
4249.02,laminariaceae
4250.05,sargassaceae
4410.03,ulvaceae
108.01 and 112.01,gelsemiaceae
115 and 120.01,schlegeliaceae
21.03 and 132.01,lophiocarpaceae
23.01 and 23.02,montiaceae
,achariaceae
,boryaceae
,campynemataceae
,haptanthaceae
,monocot families
,nartheciaceae
,petenaeaceae
,petrosaviaceae
,ruppiaceae
,tofeldiaceae
,xeronemataceae
